weather_ts,temperature_2m,rain_mm,wind_speed_10m,cloud_cover,sunshine_duration_sec,sunshine_hours,is_raining
2025-12-24 00:00:00+00:00,9.8,0.0,10.4,15,0.0,0.0,0
2025-12-24 01:00:00+00:00,8.4,0.0,6.7,95,0.0,0.0,0
2025-12-24 02:00:00+00:00,6.8,0.0,5.5,99,0.0,0.0,0
2025-12-24 03:00:00+00:00,5.8,0.0,8.5,100,0.0,0.0,0
2025-12-24 04:00:00+00:00,4.9,0.0,9.6,82,0.0,0.0,0
2025-12-24 05:00:00+00:00,4.3,0.0,8.6,99,0.0,0.0,0
2025-12-24 06:00:00+00:00,5.1,0.0,8.9,95,0.0,0.0,0
2025-12-24 07:00:00+00:00,5.5,0.0,9.5,84,0.0,0.0,0
2025-12-24 08:00:00+00:00,6.6,0.0,8.9,99,0.0,0.0,0
2025-12-24 09:00:00+00:00,7.8,0.0,10.0,97,411.89,0.11441388888888888,0
2025-12-24 10:00:00+00:00,9.7,0.0,9.6,77,3539.82,0.9832833333333334,0
2025-12-24 11:00:00+00:00,11.7,0.0,9.6,83,3600.0,1.0,0
2025-12-24 12:00:00+00:00,12.8,0.0,10.3,18,3600.0,1.0,0
2025-12-24 13:00:00+00:00,13.6,0.0,11.1,6,3600.0,1.0,0
2025-12-24 14:00:00+00:00,13.8,0.0,11.7,71,3600.0,1.0,0
2025-12-24 15:00:00+00:00,13.4,0.0,10.1,89,3600.0,1.0,0
2025-12-24 16:00:00+00:00,12.2,0.0,8.0,19,3600.0,1.0,0
2025-12-24 17:00:00+00:00,10.8,0.0,7.6,41,0.0,0.0,0
2025-12-24 18:00:00+00:00,9.7,0.0,9.0,30,0.0,0.0,0
2025-12-24 19:00:00+00:00,9.2,0.0,6.0,15,0.0,0.0,0
2025-12-24 20:00:00+00:00,8.7,0.0,0.4,25,0.0,0.0,0
2025-12-24 21:00:00+00:00,8.5,0.0,1.3,72,0.0,0.0,0
2025-12-24 22:00:00+00:00,8.2,0.0,2.8,99,0.0,0.0,0
2025-12-24 23:00:00+00:00,8.5,0.0,3.9,100,0.0,0.0,0
2025-12-25 00:00:00+00:00,8.2,0.2,8.6,100,0.0,0.0,1
2025-12-25 01:00:00+00:00,8.1,0.3,10.7,100,0.0,0.0,1
2025-12-25 02:00:00+00:00,7.9,0.6,11.3,100,0.0,0.0,1
2025-12-25 03:00:00+00:00,7.5,0.5,9.8,100,0.0,0.0,1
2025-12-25 04:00:00+00:00,7.5,0.3,8.3,100,0.0,0.0,1
2025-12-25 05:00:00+00:00,7.6,0.2,7.6,100,0.0,0.0,1
2025-12-25 06:00:00+00:00,8.0,0.0,4.0,100,0.0,0.0,0
2025-12-25 07:00:00+00:00,8.1,0.2,3.5,87,0.0,0.0,1
2025-12-25 08:00:00+00:00,8.4,0.8,3.5,86,0.0,0.0,1
2025-12-25 09:00:00+00:00,9.0,0.0,6.2,100,0.0,0.0,0
2025-12-25 10:00:00+00:00,9.9,0.0,4.3,83,1328.65,0.36906944444444445,0
2025-12-25 11:00:00+00:00,10.7,0.0,1.6,100,3600.0,1.0,0
2025-12-25 12:00:00+00:00,10.2,0.3,3.9,100,3600.0,1.0,1
2025-12-25 13:00:00+00:00,11.6,0.0,4.4,100,1388.14,0.38559444444444446,0
2025-12-25 14:00:00+00:00,12.5,0.0,10.4,100,3600.0,1.0,0
2025-12-25 15:00:00+00:00,12.3,0.0,10.4,99,3600.0,1.0,0
2025-12-25 16:00:00+00:00,11.9,0.0,11.8,100,648.22,0.18006111111111112,0
2025-12-25 17:00:00+00:00,11.0,1.2,11.7,100,0.0,0.0,1
2025-12-25 18:00:00+00:00,10.5,0.4,14.7,98,0.0,0.0,1
2025-12-25 19:00:00+00:00,10.6,0.5,17.7,83,0.0,0.0,1
2025-12-25 20:00:00+00:00,10.4,0.1,17.7,45,0.0,0.0,1
2025-12-25 21:00:00+00:00,10.5,0.1,17.4,63,0.0,0.0,1
2025-12-25 22:00:00+00:00,10.5,0.1,20.4,86,0.0,0.0,1
2025-12-25 23:00:00+00:00,10.4,0.2,19.6,92,0.0,0.0,1
2025-12-26 00:00:00+00:00,10.8,1.7,22.7,100,0.0,0.0,1
2025-12-26 01:00:00+00:00,10.9,0.3,21.1,100,0.0,0.0,1
2025-12-26 02:00:00+00:00,10.8,0.2,19.5,100,0.0,0.0,1
2025-12-26 03:00:00+00:00,11.2,0.1,20.4,100,0.0,0.0,1
2025-12-26 04:00:00+00:00,11.2,0.0,18.8,100,0.0,0.0,0
2025-12-26 05:00:00+00:00,11.3,0.2,22.6,99,0.0,0.0,1
2025-12-26 06:00:00+00:00,11.6,0.1,26.1,100,0.0,0.0,1
2025-12-26 07:00:00+00:00,11.7,0.2,23.1,100,0.0,0.0,1
2025-12-26 08:00:00+00:00,11.4,0.4,24.2,100,0.0,0.0,1
2025-12-26 09:00:00+00:00,11.6,0.8,22.3,100,0.0,0.0,1
2025-12-26 10:00:00+00:00,12.0,0.7,21.6,100,0.0,0.0,1
2025-12-26 11:00:00+00:00,11.7,1.5,22.5,100,0.0,0.0,1
2025-12-26 12:00:00+00:00,12.1,1.0,24.2,88,337.2,0.09366666666666666,1
2025-12-26 13:00:00+00:00,12.2,1.7,18.9,98,1020.53,0.28348055555555557,1
2025-12-26 14:00:00+00:00,12.0,0.9,12.7,100,1179.97,0.32776944444444445,1
2025-12-26 15:00:00+00:00,11.7,0.8,13.5,100,0.0,0.0,1
2025-12-26 16:00:00+00:00,11.7,0.3,14.3,100,0.0,0.0,1
2025-12-26 17:00:00+00:00,11.4,1.3,15.8,100,0.0,0.0,1
2025-12-26 18:00:00+00:00,11.5,0.6,20.4,100,0.0,0.0,1
2025-12-26 19:00:00+00:00,11.5,0.7,19.3,95,0.0,0.0,1
2025-12-26 20:00:00+00:00,11.7,0.4,20.5,100,0.0,0.0,1
2025-12-26 21:00:00+00:00,11.5,0.4,22.2,99,0.0,0.0,1
2025-12-26 22:00:00+00:00,11.8,0.7,19.8,100,0.0,0.0,1
2025-12-26 23:00:00+00:00,11.6,0.4,17.3,100,0.0,0.0,1
2025-12-27 00:00:00+00:00,10.9,0.1,16.2,100,0.0,0.0,1
2025-12-27 01:00:00+00:00,11.3,0.0,16.1,90,0.0,0.0,0
2025-12-27 02:00:00+00:00,11.3,0.1,18.7,100,0.0,0.0,1
2025-12-27 03:00:00+00:00,11.4,0.0,18.2,99,0.0,0.0,0
2025-12-27 04:00:00+00:00,11.4,0.1,22.9,100,0.0,0.0,1
2025-12-27 05:00:00+00:00,11.7,0.1,22.0,100,0.0,0.0,1
2025-12-27 06:00:00+00:00,11.4,0.1,21.7,99,0.0,0.0,1
2025-12-27 07:00:00+00:00,11.2,0.3,24.0,100,0.0,0.0,1
2025-12-27 08:00:00+00:00,11.7,0.2,23.3,99,0.0,0.0,1
2025-12-27 09:00:00+00:00,11.9,0.2,23.9,92,0.0,0.0,1
2025-12-27 10:00:00+00:00,12.4,0.2,21.8,100,2448.43,0.6801194444444444,1
2025-12-27 11:00:00+00:00,12.8,0.2,21.2,100,0.0,0.0,1
2025-12-27 12:00:00+00:00,12.5,1.3,28.1,100,0.0,0.0,1
2025-12-27 13:00:00+00:00,12.3,2.6,28.2,100,0.0,0.0,1
2025-12-27 14:00:00+00:00,12.1,1.9,30.1,100,0.0,0.0,1
2025-12-27 15:00:00+00:00,12.1,5.2,28.6,100,0.0,0.0,1
2025-12-27 16:00:00+00:00,12.2,6.1,22.0,99,0.0,0.0,1
2025-12-27 17:00:00+00:00,11.7,9.5,18.9,52,0.0,0.0,1
2025-12-27 18:00:00+00:00,10.9,7.3,19.8,100,0.0,0.0,1
2025-12-27 19:00:00+00:00,10.8,4.2,20.4,88,0.0,0.0,1
2025-12-27 20:00:00+00:00,10.9,2.6,14.5,81,0.0,0.0,1
2025-12-27 21:00:00+00:00,10.8,1.0,14.2,100,0.0,0.0,1
2025-12-27 22:00:00+00:00,11.0,0.2,15.1,99,0.0,0.0,1
2025-12-27 23:00:00+00:00,11.2,0.2,12.5,63,0.0,0.0,1
2025-12-28 00:00:00+00:00,11.6,0.1,17.1,84,0.0,0.0,1
2025-12-28 01:00:00+00:00,11.6,0.1,16.1,96,0.0,0.0,1
2025-12-28 02:00:00+00:00,11.2,0.1,13.3,75,0.0,0.0,1
2025-12-28 03:00:00+00:00,11.2,0.1,12.0,44,0.0,0.0,1
2025-12-28 04:00:00+00:00,11.1,0.0,10.3,34,0.0,0.0,0
2025-12-28 05:00:00+00:00,10.5,0.0,9.6,47,0.0,0.0,0
2025-12-28 06:00:00+00:00,10.0,0.0,8.1,38,0.0,0.0,0
2025-12-28 07:00:00+00:00,9.9,0.0,10.3,28,0.0,0.0,0
2025-12-28 08:00:00+00:00,10.5,0.0,9.6,48,703.72,0.19547777777777778,0
2025-12-28 09:00:00+00:00,11.7,0.0,8.4,41,3600.0,1.0,0
2025-12-28 10:00:00+00:00,13.3,0.0,8.6,44,3600.0,1.0,0
2025-12-28 11:00:00+00:00,14.3,0.0,12.7,27,3600.0,1.0,0
2025-12-28 12:00:00+00:00,14.8,0.0,13.0,41,3600.0,1.0,0
2025-12-28 13:00:00+00:00,15.0,0.0,12.7,48,3600.0,1.0,0
2025-12-28 14:00:00+00:00,14.7,0.0,14.0,98,3600.0,1.0,0
2025-12-28 15:00:00+00:00,14.3,0.0,12.6,92,3600.0,1.0,0
2025-12-28 16:00:00+00:00,13.7,0.0,12.8,79,3600.0,1.0,0
2025-12-28 17:00:00+00:00,12.9,0.0,14.0,95,0.0,0.0,0
2025-12-28 18:00:00+00:00,12.8,0.0,13.0,92,0.0,0.0,0
2025-12-28 19:00:00+00:00,12.3,0.0,11.4,98,0.0,0.0,0
2025-12-28 20:00:00+00:00,11.9,0.0,8.7,100,0.0,0.0,0
2025-12-28 21:00:00+00:00,11.4,0.0,6.5,78,0.0,0.0,0
2025-12-28 22:00:00+00:00,10.7,0.0,6.4,99,0.0,0.0,0
2025-12-28 23:00:00+00:00,10.5,0.7,7.9,100,0.0,0.0,1
